No,Apolymer,Bpolymer,PTApolymer,A:B:PTA,Cat,mol%,Mpa
28,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,12:06:30,C12=NCCCN1CCCN2,0.02,43.06
29,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,7.5:15:30,C12=NCCCN1CCCN2,0.02,19.63
30,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,0:30:30,C12=NCCCN1CCCN2,0.02,1.66
31,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:15,C12=NCCCN1CCCN2,0.02,32.31
32,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:45,C12=NCCCN1CCCN2,0.02,24.92
33,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,5:05:30,C12=NCCCN1CCCN2,0.02,3.36
34,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0,21.9
35,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.01,37.1
36,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.03,24.91
37,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.04,12.05
