No,Mpa,mol%,MolWt,ExactMolWt,LogP,TPSA,LabuteASA,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumRings,FractionCSP3,HeavyAtomCount,RotatableBondRatio,NumBonds,NumHydroxyl,NumEster,NumCarboxylate,NumEther,NumCO,BalabanJ,BertzCT,Chi0,Chi1,Kappa1,NumDisulfide,NumCarbonate,NumArylEther,NumBenzene,NumFuran,CrosslinkingPotential,AromaticAtomRatio,Cat_MolWt,Cat_LogP,Cat_TPSA,Cat_NumHAcceptors,Cat_NumHDonors,Cat_NumRotatableBonds,Cat_NumAromaticRings,Cat_NumRings,Cat_Kappa1,Cat_Chi1,Cat_NumMetalAtoms,Cat_NumN,Cat_NumS,Cat_CoordinationPotential,Cat_N_Heterocycle,Cat_Concentration,Ratio_A,Ratio_B,Ratio_PTA,Polarity_Diff_AB,LogP_Diff_AB,Total_Crosslink_Potential,Rigidity_Flexibility_Balance
31,32.31,0.02,495.6474545,495.2598766,1.171509091,151.6836364,242.6821277,12,2.181818182,21,1.090909091,0,0,1.090909091,0.642857143,33.27272727,0.323176933,65.18181818,2.181818182,3.454545455,0,3.454545455,3.454545455,4.607584821,1925.413311,52.46200986,28.30586822,7.091852805,0.545454545,0,0,0,1.090909091,0.191000918,0.143097643,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.363636364,0.363636364,0.272727273,60.08,1.0148,0.191000918,0.463118124
32,24.92,0.02,457.1692941,456.7227649,2.322482353,116.7129412,222.6255757,10.58823529,1.411764706,19.58823529,0.705882353,0,0,0.705882353,0.718487395,29.29411765,0.33677406,58.76470588,1.411764706,2.941176471,0,2.941176471,2.941176471,5.557737244,1660.582115,47.85095034,25.52257393,6.191049966,1.058823529,0,0,0,0.705882353,0.187759952,0.092592593,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.235294118,0.235294118,0.529411765,60.08,1.0148,0.187759952,0.299664669
33,3.36,0.02,446.5878,446.1250591,2.639,107.096,217.110024,10.2,1.2,19.2,0.6,0,0,0.6,0.739285714,28.2,0.34051327,57,1.2,2.8,0,2.8,2.8,5.819029161,1587.753536,46.58290898,24.757168,5.943329186,1.2,0,0,0,0.6,0.186868687,0.078703704,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.2,0.2,0.6,60.08,1.0148,0.186868687,0.254714968
34,21.9,0,441.3885714,440.9887688,1.322057143,126.6971429,213.8803601,10.85714286,1.714285714,19,0.571428571,0,0,0.571428571,0.704489796,28.57142857,0.336550152,56.42857143,1.714285714,3.142857143,0,3.142857143,3.142857143,5.58233185,1551.931837,46.08629291,24.60214029,6.13200362,0.857142857,0,0,0,0.571428571,0.198556999,0.088624339,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0,0.285714286,0.285714286,0.428571429,46.94,0.9041,0.198556999,0.283446712
35,37.1,0.01,472.2857143,471.8623445,1.870314286,130.4514286,230.5049355,11.14285714,1.714285714,20.14285714,0.857142857,0,0,0.857142857,0.68877551,30.85714286,0.331432332,61.28571429,1.714285714,3.142857143,0,3.142857143,3.142857143,5.184463078,1764.622942,49.66243801,26.61601097,6.544936796,0.857142857,0,0,0,0.857142857,0.189033189,0.112433862,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.01,0.285714286,0.285714286,0.428571429,60.08,1.0148,0.189033189,0.363878526
37,12.05,0.04,472.2857143,471.8623445,1.870314286,130.4514286,230.5049355,11.14285714,1.714285714,20.14285714,0.857142857,0,0,0.857142857,0.68877551,30.85714286,0.331432332,61.28571429,1.714285714,3.142857143,0,3.142857143,3.142857143,5.184463078,1764.622942,49.66243801,26.61601097,6.544936796,0.857142857,0,0,0,0.857142857,0.189033189,0.112433862,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.04,0.285714286,0.285714286,0.428571429,60.08,1.0148,0.189033189,0.363878526
38,11.22,0.05,472.2857143,471.8623445,1.870314286,130.4514286,230.5049355,11.14285714,1.714285714,20.14285714,0.857142857,0,0,0.857142857,0.68877551,30.85714286,0.331432332,61.28571429,1.714285714,3.142857143,0,3.142857143,3.142857143,5.184463078,1764.622942,49.66243801,26.61601097,6.544936796,0.857142857,0,0,0,0.857142857,0.189033189,0.112433862,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.05,0.285714286,0.285714286,0.428571429,60.08,1.0148,0.189033189,0.363878526
40,3.65,0.01,451.4277143,451.0141275,1.960114286,116.3485714,223.6148741,10.28571429,1.714285714,19.85714286,0.857142857,0,0,0.857142857,0.713890718,29.42857143,0.33315713,60.14285714,1.714285714,2.571428571,0,2.571428571,2.571428571,5.395322034,1727.246549,48.80770549,26.08374819,5.899534248,0.857142857,0,0,0,0.857142857,0.176243738,0.122902075,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,109.44,0.3523,0.176243738,0.394557823
41,20.09,0.01,445.1411429,444.7268477,2.034914286,108.84,221.4738953,9.714285714,1.714285714,19,0.857142857,0,0,0.857142857,0.681632653,29.14285714,0.32674409,59.28571429,1.714285714,2.571428571,0,2.571428571,2.571428571,5.39997822,1705.530604,48.06347335,25.78042648,5.831323509,0.857142857,0,0,0.571428571,0.285714286,0.17730096,0.136645963,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,83.16,0.6141,0.17730096,0.455289362
42,27.32,0.01,433.3982857,433.0006176,1.527657143,116.9428571,213.108028,10.28571429,1.714285714,19.57142857,0.571428571,0,0,0.571428571,0.740204082,28,0.34473823,57,1.714285714,2.571428571,0,2.571428571,2.571428571,5.634828542,1551.925834,46.61352133,24.78688122,5.693616994,0.857142857,0,0,0,0.571428571,0.180779221,0.092857143,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,81.08,1.6237,0.180779221,0.280820106
43,18.32,0.01,460.2877143,459.8697218,2.026171429,120.6971429,227.1112082,10.57142857,1.714285714,20.42857143,0.857142857,0,0,0.857142857,0.721033575,30,0.339495069,61,1.714285714,2.571428571,0,2.571428571,2.571428571,5.194516726,1739.594889,49.47538071,26.44360905,6.094939976,0.857142857,0,0,0,0.857142857,0.172268582,0.117933131,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,94.22,0.1211,0.172268582,0.36547619
44,49.3,0.01,464.2954286,463.8741933,2.075914286,120.6971429,229.7326034,10.57142857,1.714285714,20.71428571,0.857142857,0,0,0.857142857,0.724489796,30.28571429,0.339620409,61.85714286,1.714285714,2.571428571,0,2.571428571,2.571428571,5.236959769,1764.61694,50.18966643,26.80075191,6.10655017,0.857142857,0,0,0,0.857142857,0.171255411,0.116666667,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,94.22,0.2952,0.171255411,0.36125192
45,14.48,0.01,454.0011429,453.582442,2.100971429,113.1885714,224.9702294,10,1.714285714,19.57142857,0.857142857,0,0,0.857142857,0.68877551,29.71428571,0.333082029,60.14285714,1.714285714,2.571428571,0,2.571428571,2.571428571,5.199172912,1717.878945,48.73114858,26.14028735,6.026729237,0.857142857,0,0,0.571428571,0.285714286,0.173325805,0.131677019,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,67.94,0.3829,0.173325805,0.426207729
46,8.13,0.01,464.8588571,464.4396975,1.901885714,123.3342857,228.5722211,10.85714286,1.714285714,20.71428571,0.857142857,0,0,0.857142857,0.717476809,30.28571429,0.340729483,61.28571429,1.714285714,2.571428571,0,2.571428571,2.571428571,5.334126848,1721.515526,49.67741122,26.57421099,6.223680424,0.857142857,0,0,0,0.857142857,0.16969697,0.122294372,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,58.71,2.9335,0.16969697,0.382876383
47,16.98,0.01,491.7482857,491.3088017,2.4004,127.0885714,242.5754013,11.14285714,1.714285714,21.57142857,1.142857143,0,0,1.142857143,0.698306302,32.28571429,0.335486322,65.28571429,1.714285714,2.571428571,0,2.571428571,2.571428571,4.893815033,1909.184582,52.53927061,28.23093881,6.625003407,0.857142857,0,0,0,1.142857143,0.161186331,0.14737036,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,71.85,1.1887,0.161186331,0.467532468
48,13.16,0.01,495.756,495.3132731,2.450142857,127.0885714,245.1967965,11.14285714,1.714285714,21.85714286,1.142857143,0,0,1.142857143,0.701762523,32.57142857,0.335611663,66.14285714,1.714285714,2.571428571,0,2.571428571,2.571428571,4.936258076,1934.206632,53.25355633,28.58808167,6.6366136,0.857142857,0,0,0,1.142857143,0.16017316,0.146103896,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,71.85,1.0146,0.16017316,0.463308197
49,13.82,0.01,485.4617143,485.0215219,2.4752,119.58,240.4344225,10.57142857,1.714285714,20.71428571,1.142857143,0,0,1.142857143,0.666048237,32,0.329073282,64.42857143,1.714285714,2.571428571,0,2.571428571,2.571428571,4.898471219,1887.468637,51.79503847,27.92761711,6.556792667,0.857142857,0,0,0.571428571,0.571428571,0.162243554,0.161114248,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,45.57,0.9269,0.162243554,0.528264007
50,52.48,0.01,472.2857143,471.8623445,1.870314286,130.4514286,230.5049355,11.14285714,1.714285714,20.14285714,0.857142857,0,0,0.857142857,0.68877551,30.85714286,0.331432332,61.28571429,1.714285714,3.142857143,0,3.142857143,3.142857143,5.184463078,1764.622942,49.66243801,26.61601097,6.544936796,0.857142857,0,0,0,0.857142857,0.189033189,0.112433862,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,60.08,1.0148,0.189033189,0.363878526
51,38.98,0.01,461.9914286,461.5705932,1.895371429,122.9428571,225.7425615,10.57142857,1.714285714,19,0.857142857,0,0,0.857142857,0.653061224,30.28571429,0.324893951,59.57142857,1.714285714,3.142857143,0,3.142857143,3.142857143,5.146676221,1717.884947,48.20392016,25.95554641,6.465115863,0.857142857,0,0,0.571428571,0.285714286,0.191103582,0.127444214,209.516,0.5593,52.6,4,0,0,0,1,8.658043323,5.2876937,1,0,0,0,0,0.01,0.285714286,0.285714286,0.428571429,33.8,1.1025,0.191103582,0.428834336
